                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    123,                0.69106,                 1.9977,                 1.2156,                0.47357,                0.28356,                0.28871,                 0.2035,                 1.2157,                 3.6594,                 1.7032,             5.0116e-05,             5.0116e-05,             5.0116e-05
                    124,                0.74095,                 2.1106,                  1.259,                0.43927,                0.28688,                0.27445,                0.19601,                 1.2177,                  3.634,                 1.7088,             5.0059e-05,             5.0059e-05,             5.0059e-05
                    125,                0.73378,                 2.0664,                 1.2227,                0.41091,                0.29425,                0.27553,                0.19648,                 1.2186,                 3.6266,                 1.7114,             5.0003e-05,             5.0003e-05,             5.0003e-05
                    126,                0.71491,                 2.0546,                 1.2314,                0.44903,                0.28207,                0.28101,                0.20048,                 1.2053,                 3.6264,                 1.7014,             4.9946e-05,             4.9946e-05,             4.9946e-05
                    127,                 0.7166,                 1.9406,                 1.2283,                0.47129,                0.27145,                0.27984,                0.20116,                 1.2019,                 3.6268,                 1.7028,              4.989e-05,              4.989e-05,              4.989e-05
                    128,                0.72269,                 2.0249,                 1.2172,                0.46578,                0.27299,                0.28747,                0.20702,                 1.1974,                 3.6127,                 1.7037,             4.9833e-05,             4.9833e-05,             4.9833e-05
                    129,                0.66794,                 1.9658,                 1.2172,                0.48568,                0.27407,                0.29254,                0.20985,                 1.1982,                 3.6055,                 1.7037,             4.9777e-05,             4.9777e-05,             4.9777e-05
                    130,                0.71727,                 1.9591,                 1.1953,                0.47891,                0.27277,                0.30598,                0.22377,                 1.1967,                 3.6122,                 1.7053,             4.9721e-05,             4.9721e-05,             4.9721e-05
                    131,                0.71267,                 1.9147,                 1.2063,                0.45856,                0.28371,                0.30946,                0.21978,                 1.2002,                 3.6089,                 1.7054,             4.9664e-05,             4.9664e-05,             4.9664e-05
                    132,                0.74795,                 2.0069,                 1.2276,                0.49482,                0.26274,                0.30618,                0.21611,                 1.2089,                 3.6192,                 1.7066,             4.9608e-05,             4.9608e-05,             4.9608e-05
                    133,                0.69648,                 1.8981,                 1.1954,                0.46848,                0.24569,                0.30388,                0.21922,                 1.2163,                 3.6136,                 1.7072,             4.9551e-05,             4.9551e-05,             4.9551e-05
